id	question	answer	category	imageUrls	createdBy	createdAt	updatedAt
15	如果我出國或到外縣市，包裹怎麼辦？	"請提前通知管理室您的出國或外出時間，管理室將為您代收包裹。
返回後請盡快領取。
逾期費用從您返國隔日開始起算。"	packages			2026-06-30T04:42:49	2026-07-20T07:27:08
16	管理費有哪些繳納方式？	"管理費繳納方式：
1. 智生活線上刷卡。
2. 前往櫃檯印繳費單，至7-11繳納。"	fees			2026-06-30T04:42:49	2026-06-30T08:25:02
17	管理費如果逾期繳納，補繳之後可以請管理室補發社區點數給我嗎？	點數為獎勵準時繳納住戶，逾期繳納不會補發點數。	fees			2026-06-30T04:42:49	2026-06-30T08:27:08
18	扣點使用社區公設（如健身房、交誼廳）時，如果發現點數不夠該怎麼辦？	"點數不足時無法使用公設。
前往櫃檯使用現金補點，一元等於一點。

點數餘額可至管理室查詢或線上查詢。"	fees			2026-06-30T04:42:50	2026-06-30T08:28:25
19	社區有哪些公共設施可以預約？使用點數與人數限制是多少？	"可預約設施：健身房、媽媽教室、大KTV、小KTV、瑜伽教室、棋藝室、視聽室、會議室、游泳池。
點數、人數限制與相關規定請詳閱規約。

請注意：押金1000元，不得以證件、手機、鑰匙、磁扣等替代。"	facilities			2026-06-30T04:42:50	2026-06-30T08:50:32
20	公設押金多少？可以用證件或押鎖匙嗎？	"公設押金為新台幣1000元。
不接受證件或鎖匙作為押金。使用完畢後，押金將全額退還。
公設的磁扣跟配件限於24小時內歸還。"	facilities			2026-06-30T04:42:50	2026-07-20T07:42:23
21	使用完公設後，如何辦理退押金？有什麼使用注意事項嗎？	"退押金流程：
1. 檢查公設無損壞。
2. 攜帶借公設時領取物品（電梯卡、訪客證、跑步機磁扣、電視遙控器等）至管理室辦理退押。
3. 押金將當場退還。
如有損壞器具或遺失鑰匙須照價賠償，如遺失公設磁卡須酌補卡之工本費 250 元。
"	facilities			2026-06-30T04:42:50	2026-07-20T07:56:51
22	KTV可以跨時段接著唱嗎？	可以。KTV可跨時段連續使用，但需分別預約和繳費。每次預約時間為1小時，可多次預約。建議提前預約以確保時段可用。	facilities			2026-06-30T04:42:51	2026-06-30T04:42:51
23	社區的垃圾場在哪裡？需要專用垃圾袋嗎？回收有特殊規定與罰則嗎？	"環保室位於地下室B1層。
內有三台垃圾壓縮機、一台廚餘機、一個舊衣回收箱、一個保麗龍回收車、一個廢電池回收盒。
回收室內有紙製品回收車（盒子箱子須割開後放置平整）、玻璃回收區、金屬回收區、塑膠回收區（寶特瓶請壓扁後鎖緊瓶蓋）、小家電回收車。
垃圾分類規定：廚餘、一般垃圾、資源回收分開放置。違反分類規定將被罰款新台幣500元。"	cleaning			2026-06-30T04:42:51	2026-06-30T08:58:47
24	大型家具（如床墊、沙發）可以直接丟在垃圾場嗎？要放哪裡？	"大型家具請放置車道旁大型廢棄物堆放區。
需提前通知清潔隊，由清潔隊統一清運。
使用紙張書寫戶號及已通知清潔隊清運。
違反規定將被罰款新台幣500元。"	cleaning			2026-06-30T04:42:51	2026-06-30T09:01:51
25	修繕廢棄的木頭、木條或磚塊水泥，可以丟到環保室的垃圾壓縮機內嗎？	"不可以。
建築廢棄物應請管理室聯繫環保廠商估價後決定是否委託清運。
前往櫃檯繳納費用後再放到廠商指定區域（廠商會開立發票）。
或自行安排清運。
禁止丟入垃圾壓縮機，違者將被罰款並須負擔壓縮機損壞費用。"	cleaning			2026-06-30T04:42:51	2026-06-30T09:22:57
26	故障換下來的燈管如何回收？	"廢燈管短的應放在回收室的玻璃區。長的燈管請輕放在小家電箱內。
禁止丟入一般垃圾。"	cleaning			2026-06-30T04:42:51	2026-06-30T07:30:51
27	廢電池如何回收？	廢電池應放在環保室的電池回收箱內。禁止丟入一般垃圾。社區將定期清運至回收站進行環保處理。	cleaning			2026-06-30T04:42:52	2026-06-30T04:42:52
28	不用的行李箱如何回收？	"不用的行李箱應放在垃圾壓縮機旁空間。
需提前通知管理室。
禁止放在公共走道或樓梯間。"	cleaning			2026-06-30T04:42:52	2026-06-30T09:32:19
29	什麼狀況需要向管委會申請裝潢施工？程序、保證金與清潔費如何計算？	"所有室內裝潢施工均需申請。
程序：1. 提交裝潢計畫書。
2. 繳納保證金新台幣30000元(匯款到社區帳號）。
3. 獲批准後方可施工。
清潔費：1000（每個月）。
施工完成後檢查無誤，保證金將退還。

請注意：假日不得施工。"	renovation			2026-06-30T04:42:52	2026-06-30T09:36:36
30	裝潢完工後，要如何申請退還裝修保證金？	"完工後流程：
1. 通知管理室進行完工檢查。
2. 檢查無損壞和違規。
3.超過一個月後續之清潔費由押金內扣除。
4.提供收據和存摺影本（需與匯款同帳號）

PS:拆除電梯保護後，請移除一切膠帶（包括保護前作記號的膠帶）
"	renovation			2026-06-30T04:42:52	2026-07-20T07:49:02
31	家裡要裝潢施工，允許的時間是什麽時候？施工動線有何限制？	"施工時間：週一至週五 08:00-17:00。
禁止在六、日和國定假日施工。
動線限制：施工材料應放在自家內，禁止佔用公共走道。
垃圾應日清日淨，禁止堆放在樓梯間或大廳。
請依照規範進行保護公設走道及電梯。"	renovation			2026-06-30T04:42:53	2026-06-30T09:55:32
32	我在大廳或其他公共區域不小心打翻飲料或食物，可以請社區清潔人員幫忙打掃嗎？	"請自行清理，
清潔人員負責區域太大，無法及時協助。
否則依照規約會有罰則。
如造成地板損壞或污漬難以清除，需負責賠償清潔費用。
建議避免在公共區域飲食。"	safety			2026-06-30T04:42:53	2026-06-30T10:10:52
33	自家門外的公共走道或樓梯間可以放鞋子、傘架或推車嗎？	"不可以。
公共走道和樓梯間禁止放置任何私人物品，包括鞋子、傘架、推車等。
違反規定將被罰款新台幣500元，並責令立即清除。"	safety			2026-06-30T04:42:53	2026-06-30T10:22:31
34	可以在陽台、浴室、梯間或室內抽菸、點蚊香、甚至燒金紙嗎？	"禁止於室內點蚊香或使用水煙殺蟲劑（會觸發偵煙器，造成警報大響）
焚燒金紙禁止在人行道範圍。
違反禁菸規定將被罰款。
如發現違規行為，請立即通知管理室。"	safety			2026-06-30T04:42:53	2026-06-30T10:21:36
35	如果需要搬重物或修繕，社區有推車或梯子可以借用嗎？	"有。社區備有推車和梯子可供借用。
借用時需至管理室登記，並簽署借用單。
使用完畢後應立即歸還，損壞需賠償。
時間以一小時為限。
顧及其他住戶權益，請勿佔用。"	safety			2026-06-30T04:42:53	2026-06-30T10:17:07
36	可以在自家陽台清洗或往下潑水嗎？有什麼限制？	"禁止往下潑水。
請遵循大樓公告清洗時間。
不要污染樓下陽台或公共區域。
如造成他人損失，需負責賠償。"	safety			2026-06-30T04:42:54	2026-06-30T10:03:34
37	鄰居深夜製造噪音（如跑跳、拖椅子、打麻將）或半夜鄰居的寵物一直吠叫該怎麼辦？	"請確認來源後請管理室代為聯繫勸導。
如未改善請逕行報警，由警方介入處置。"	safety			2026-06-30T04:42:54	2026-06-30T10:00:37
38	懷疑或發現鄰居在家中、陽台或公共區域吸食 K 他命（傳出塑膠燃燒異味）該怎麼辦？	請立即向管理室或警方舉報。提供具體位置和時間。管理室將配合相關單位進行調查。舉報人資訊將保密。	safety			2026-06-30T04:42:54	2026-06-30T04:42:54
39	點數如何計算？	"社區點數與管理費掛鉤。每繳納新台幣1000元管理費，即獲得100點。
點數可用於公設預約。"	fees			2026-06-30T04:42:54	2026-06-30T09:18:14
40	點數多久更新一次？	點數在繳納管理費後於單數月份五號更新。	fees			2026-06-30T04:42:54	2026-06-30T09:58:20
41	如何查詢點數餘額？	查詢方式：1. 至管理室查詢；2. 撥打管理室電話；3. 智生活線上查詢（需註冊社區帳號）。點數餘額實時更新。	fees			2026-06-30T04:42:55	2026-06-30T09:57:16
42	點數可以轉讓嗎？	"可以。
雙方區權人同意可轉讓（請洽櫃檯）。
禁止出售。"	fees			2026-06-30T04:42:55	2026-06-30T09:56:44
43	填充娃娃如何回收？	"絨毛玩偶裡頭塞的多為棉花、纖維布，或是聚酯纖維的塑膠填充物，因為回收價格低、太難處理或太髒等，導致它沒有回收價值、無法被回收，只能丟進一般垃圾處理。 

以上這些玩具皆礙於材質無法回收，建議大家可以將狀態良好的玩具們捐給社福團體，或分送給身邊有小孩的朋友。"	cleaning		1	2026-06-30T07:25:59	2026-06-30T07:25:59
44	保麗龍餐盒可以回收嗎？	「不可」回收，請放一般垃圾壓縮機。	cleaning		1	2026-06-30T07:27:14	2026-07-05T01:47:41
45	包裝用泡泡紙如何回收？	"包裝用的塑膠泡泡紙一般情況下是不可以回收的。

因為它多由聚乙烯（PE）等複合塑膠薄膜製成，投入一般資源回收車容易絞入機器造成設備故障，所以請直接裝入垃圾袋當作一般垃圾丟棄。"	cleaning		1	2026-06-30T07:36:15	2026-06-30T07:36:15
46	我想租自行車位，如何辦理？	"自行車位目前開放到80號車位前，請您先到櫃檯查詢目前的空位置，然後下停車場確認後到櫃台繳錢承租，請保留收據及將貼紙貼於您的自行車顯眼處。
上層租金360元，下層租金600元。
繳費週期為每年九月份。"	parking		1	2026-06-30T07:49:26	2026-06-30T07:49:26
47	罰單可以到櫃台繳現金嗎？	罰單隨管理費繳納，櫃檯沒有收現金辦理的服務。	fees		1	2026-07-01T04:07:07	2026-07-01T04:07:07
48	車位被佔如何處理?	"請拍照通報櫃檯（拍車位號碼與違停車號）
由櫃檯人員聯繫站停車輛並開罰單，經櫃檯安排後可暫放臨停區。
待車輛移走後櫃檯會通知您。"	parking		1	2026-07-10T08:02:13	2026-07-10T08:02:13
49	我有借用鄰居車位停車。	"請提前請借用您車位的住戶致電櫃檯說明借的時間，
有於櫃檯事先登記可免受罰。
"	parking		1	2026-07-10T08:04:22	2026-07-10T08:04:22
50	我有遠通Etag，如何請櫃檯幫忙輸入系統？	"請先前來櫃檯登記後，將車輛開到車道，
電聯櫃檯（07-3231175）後依櫃檯人員導引進行感應測試。"	parking		1	2026-07-10T08:06:56	2026-07-10T08:06:56
51	壞掉的小家電如何回收？	回收室入口右手邊第一個就是小家電回收區，請放在籠車內。	cleaning		1	2026-07-10T08:08:40	2026-07-10T08:08:40
52	廚餘怎麼處理？	"請幫廚餘瀝乾後，將廚餘倒入廚餘回收機內（環保室壓縮機旁）
倒完廚餘的塑膠袋請丟入壓縮機內。"	cleaning		1	2026-07-10T08:11:35	2026-07-10T08:11:35
53	我沒帶磁扣，可以請櫃檯協助感應電梯嗎？	為了門禁安全：管委會規定保全不得替他人感應電梯，出入請您切記攜帶磁扣，以免造成不便。	access		1	2026-07-10T08:13:43	2026-07-10T08:13:43
54	泳池有進場人數上限？	"為保障使用泳池的品質，每戶限定六位，每一場次限定20人進場，幼童請成年人陪同。
需戴泳帽才可入池。
禁止於泳池招生收費。"	facilities		1	2026-07-10T08:17:21	2026-07-20T07:29:20
55	我可以加入住戶群組嗎？我想加主委的LINE>	"居戶群組為區權人使用，
若需要聯繫主委，請前往櫃檯登記，由櫃檯諮詢主委同意後加入。"	moving-in		1	2026-07-10T08:21:24	2026-07-10T08:21:24
56	我有訂購超大件物品，可以代收嗎？	超大件物品只能放置大門外超商旁空地。（由於屬室外，櫃檯不負保管責任，請自行於兩天內取走。）	packages		1	2026-07-10T08:24:15	2026-07-10T08:24:15
57	颱風可以用公設嗎？	颱風警報期間，暫停R樓公設。	facilities		1	2026-07-11T02:05:41	2026-07-11T02:05:41
58	KTV有wifi可以點歌嗎？	"本社區R樓設施並未提供wifi熱點，點歌使用歌本點歌。
若您有上網需求，請使用您手機網路分享。"	facilities	"[""/manus-storage/faq-images/1784432303691_5586d850.png""]"	1	2026-07-19T03:38:30	2026-07-19T03:38:30
59	家裡的馬桶、熱水器、IH爐、RO濾水器、暖風機（抽風機）維修電話是？	"馬桶（凱樂）：07-3107578
熱水器、IH爐：0800-021-818/0909-611-818#999
RO濾水器:0979-962-640
暖風機（抽風機）:0800-288-678"	moving-in		1	2026-07-20T08:01:44	2026-07-20T08:01:44
